_id,Year,MUNO,forest_name,Product_Type,Spp_Group1,Spp_Group3,Volume
77,2018,230,English River (230),Pulp,Poplar,Poplar/Birch,4523.099121
78,2018,230,English River (230),Sawmill,Jack Pine,SPF,35388.55859
79,2018,230,English River (230),Sawmill,Spruce,SPF,145775.8438
80,2018,230,English River (230),Sawmill,Balsam Fir,SPF,4145.342773
81,2018,280,Timiskaming (280),Biomass,Mixedwood,Mixedwood,43.90999985
82,2018,280,Timiskaming (280),Composite,Poplar,Poplar/Birch,329969.4688
83,2018,280,Timiskaming (280),Composite,White Birch,Poplar/Birch,35127.63281
84,2018,280,Timiskaming (280),Fuelwood,Jack Pine,SPF,2736
85,2018,280,Timiskaming (280),Fuelwood,Other Softwood,Other Softwood,36
86,2018,280,Timiskaming (280),Fuelwood,Other Softwood,Other Softwood,144
87,2018,280,Timiskaming (280),Fuelwood,Maple,Hardwood,216
88,2018,280,Timiskaming (280),Fuelwood,White Birch,Poplar/Birch,7492
89,2018,280,Timiskaming (280),Other,Jack Pine,SPF,15.01000023
90,2018,280,Timiskaming (280),Other,Spruce,SPF,14.47999954
91,2018,280,Timiskaming (280),Other,Spruce,SPF,27.20000076
92,2018,280,Timiskaming (280),Other,Poplar,Poplar/Birch,22.70000076
93,2018,280,Timiskaming (280),Other,White Birch,Poplar/Birch,12.89999962
94,2018,280,Timiskaming (280),Sawmill,Jack Pine,SPF,428507.3125
95,2018,280,Timiskaming (280),Sawmill,Spruce,SPF,197382.375
96,2018,280,Timiskaming (280),Sawmill,Balsam Fir,SPF,44750.71484
97,2018,280,Timiskaming (280),Sawmill,White Pine,Red/White Pine,245.1430054
98,2018,280,Timiskaming (280),Sawmill,White Pine,Red/White Pine,32.73799896
99,2018,280,Timiskaming (280),Veneer,Poplar,Poplar/Birch,37358.14453
100,2018,350,Kenogami (350),Biomass,Mixedwood,Mixedwood,41288.25781
101,2018,350,Kenogami (350),Fuelwood,Spruce,SPF,3.059999943
102,2018,350,Kenogami (350),Fuelwood,White Birch,Poplar/Birch,109.8700027
103,2018,350,Kenogami (350),Other,Jack Pine,SPF,89.83000183
104,2018,350,Kenogami (350),Other,Spruce,SPF,709.5469971
105,2018,350,Kenogami (350),Other,Balsam Fir,SPF,14.37800026
106,2018,350,Kenogami (350),Other,Other Softwood,Other Softwood,32.61100006
107,2018,350,Kenogami (350),Other,Other Softwood,Other Softwood,62.67699814
108,2018,350,Kenogami (350),Other,Poplar,Poplar/Birch,671.5869751
109,2018,350,Kenogami (350),Other,White Birch,Poplar/Birch,94.00700378
110,2018,350,Kenogami (350),Pulp,Jack Pine,SPF,34424.16406
111,2018,350,Kenogami (350),Pulp,Spruce,SPF,107128.1875
112,2018,350,Kenogami (350),Pulp,Balsam Fir,SPF,7636.655762
113,2018,350,Kenogami (350),Pulp,Poplar,Poplar/Birch,6858.706055
114,2018,350,Kenogami (350),Sawmill,Jack Pine,SPF,92391.50781
115,2018,350,Kenogami (350),Sawmill,Spruce,SPF,236390.5156
116,2018,350,Kenogami (350),Sawmill,Balsam Fir,SPF,1213.260986
117,2018,350,Kenogami (350),Veneer,Poplar,Poplar/Birch,11078.13086
118,2018,360,French-Severn (360),Composite,Poplar,Poplar/Birch,271.8450012
119,2018,360,French-Severn (360),Fuelwood,Maple,Hardwood,10619.36133
120,2018,360,French-Severn (360),Fuelwood,Yellow Birch,Hardwood,568.7600098
121,2018,360,French-Severn (360),Fuelwood,Oak,Hardwood,319.7250061
122,2018,360,French-Severn (360),Fuelwood,Other Hardwood,Hardwood,649.973999
123,2018,360,French-Severn (360),Fuelwood,Other Hardwood,Hardwood,213.1499939
124,2018,360,French-Severn (360),Fuelwood,Other Hardwood,Hardwood,6.524000168
125,2018,360,French-Severn (360),Fuelwood,Poplar,Poplar/Birch,58
126,2018,360,French-Severn (360),Fuelwood,White Birch,Poplar/Birch,54
127,2018,360,French-Severn (360),Pulp,Jack Pine,SPF,0.086000003
128,2018,360,French-Severn (360),Pulp,Spruce,SPF,13.45300007
129,2018,360,French-Severn (360),Pulp,Balsam Fir,SPF,25.72999954
130,2018,360,French-Severn (360),Pulp,Other Softwood,Other Softwood,633.9910278
131,2018,360,French-Severn (360),Pulp,Maple,Hardwood,2265.364014
132,2018,360,French-Severn (360),Pulp,Yellow Birch,Hardwood,11.97900009
133,2018,360,French-Severn (360),Pulp,Oak,Hardwood,0.096000001
134,2018,360,French-Severn (360),Pulp,Other Hardwood,Hardwood,17.39500046
135,2018,360,French-Severn (360),Pulp,Other Hardwood,Hardwood,0.284999996
136,2018,360,French-Severn (360),Pulp,Other Hardwood,Hardwood,0.284999996
137,2018,360,French-Severn (360),Pulp,Maple,Hardwood,24591.92383
138,2018,360,French-Severn (360),Pulp,Yellow Birch,Hardwood,108.1230011
139,2018,360,French-Severn (360),Pulp,Oak,Hardwood,0.921999991
140,2018,360,French-Severn (360),Pulp,Other Hardwood,Hardwood,164.7960052
141,2018,360,French-Severn (360),Pulp,Other Hardwood,Hardwood,2.760999918
142,2018,360,French-Severn (360),Pulp,Other Hardwood,Hardwood,2.150000095
143,2018,360,French-Severn (360),Pulp,Poplar,Poplar/Birch,819.8670044
144,2018,360,French-Severn (360),Pulp,White Pine,Red/White Pine,436.8970032
145,2018,360,French-Severn (360),Pulp,Red Pine,Red/White Pine,13.08600044
146,2018,360,French-Severn (360),Pulp,White Pine,Red/White Pine,2935.12207
147,2018,360,French-Severn (360),Pulp,Red Pine,Red/White Pine,129.5099945
148,2018,360,French-Severn (360),Sawmill,Spruce,SPF,2047.39502
149,2018,360,French-Severn (360),Sawmill,Other Softwood,Other Softwood,2783.469971
150,2018,360,French-Severn (360),Sawmill,Maple,Hardwood,21728.38867
151,2018,360,French-Severn (360),Sawmill,Yellow Birch,Hardwood,1280.359009
152,2018,360,French-Severn (360),Sawmill,Oak,Hardwood,668.0159912
153,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,2671.311035
154,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,221.1100006
155,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,282.6849976
156,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,250.6300049
157,2018,360,French-Severn (360),Sawmill,Maple,Hardwood,4610.778809
158,2018,360,French-Severn (360),Sawmill,Yellow Birch,Hardwood,414.8009949
159,2018,360,French-Severn (360),Sawmill,Oak,Hardwood,96.95899963
160,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,548.401001
161,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,47.3030014
162,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,35.9129982
163,2018,360,French-Severn (360),Sawmill,Other Hardwood,Hardwood,125.6460037
164,2018,360,French-Severn (360),Sawmill,Poplar,Poplar/Birch,131.897995
165,2018,360,French-Severn (360),Sawmill,White Pine,Red/White Pine,26000.64063
166,2018,360,French-Severn (360),Sawmill,Red Pine,Red/White Pine,1563.995972
167,2018,360,French-Severn (360),Sawmill,White Pine,Red/White Pine,5720.60791
168,2018,360,French-Severn (360),Sawmill,Red Pine,Red/White Pine,1285.880005
169,2018,360,French-Severn (360),Sawmill,White Birch,Poplar/Birch,54.72999954
170,2018,360,French-Severn (360),Veneer,Maple,Hardwood,539.5499878
171,2018,360,French-Severn (360),Veneer,Yellow Birch,Hardwood,503.0589905
172,2018,360,French-Severn (360),Veneer,Oak,Hardwood,21.86199951
173,2018,360,French-Severn (360),Veneer,Other Hardwood,Hardwood,110.5189972
174,2018,360,French-Severn (360),Veneer,Maple,Hardwood,3.907999992
175,2018,360,French-Severn (360),Veneer,Yellow Birch,Hardwood,42.70899963
176,2018,360,French-Severn (360),Veneer,White Birch,Poplar/Birch,22.18499947
177,2018,390,Nagagami (390),Biomass,Mixedwood,Mixedwood,44948.21094
178,2018,390,Nagagami (390),Biomass,Mixedwood,Mixedwood,7709.742188
179,2018,390,Nagagami (390),Pulp,Jack Pine,SPF,6941.688965
180,2018,390,Nagagami (390),Pulp,Spruce,SPF,9958.091797
181,2018,390,Nagagami (390),Pulp,Balsam Fir,SPF,157.7420044
182,2018,390,Nagagami (390),Sawmill,Jack Pine,SPF,72034.5
183,2018,390,Nagagami (390),Sawmill,Spruce,SPF,152286.1563
184,2018,390,Nagagami (390),Sawmill,Balsam Fir,SPF,4377.734863
185,2018,390,Nagagami (390),Veneer,Poplar,Poplar/Birch,19468.85742
186,2018,406,Boundary Waters (406),Biomass,Mixedwood,Mixedwood,2125.842041
187,2018,406,Boundary Waters (406),Biomass,Mixedwood,Mixedwood,7981.023926
188,2018,406,Boundary Waters (406),Biomass,Mixedwood,Mixedwood,43450.96094
189,2018,406,Boundary Waters (406),Biomass,Mixedwood,Mixedwood,1462.005005
190,2018,406,Boundary Waters (406),Composite,Jack Pine,SPF,29404.9043
191,2018,406,Boundary Waters (406),Composite,Spruce,SPF,12174.58984
192,2018,406,Boundary Waters (406),Composite,Balsam Fir,SPF,3464.628906
193,2018,406,Boundary Waters (406),Composite,Other Softwood,Other Softwood,388.2049866
194,2018,406,Boundary Waters (406),Composite,Maple,Hardwood,40.33800125
195,2018,406,Boundary Waters (406),Composite,Poplar,Poplar/Birch,247396.4688
196,2018,406,Boundary Waters (406),Composite,Red Pine,Red/White Pine,111.7529984
197,2018,406,Boundary Waters (406),Composite,White Pine,Red/White Pine,286.3240051
198,2018,406,Boundary Waters (406),Composite,Red Pine,Red/White Pine,380.3469849
199,2018,406,Boundary Waters (406),Composite,White Birch,Poplar/Birch,19553.36523
200,2018,406,Boundary Waters (406),Fuelwood,Jack Pine,SPF,85.27200317
201,2018,406,Boundary Waters (406),Fuelwood,Balsam Fir,SPF,0.057999998
202,2018,406,Boundary Waters (406),Fuelwood,Other Hardwood,Hardwood,420.4729919
203,2018,406,Boundary Waters (406),Fuelwood,White Birch,Poplar/Birch,1755.014893
204,2018,406,Boundary Waters (406),Pulp,Poplar,Poplar/Birch,863.8400269
205,2018,406,Boundary Waters (406),Sawmill,Jack Pine,SPF,271183.5625
206,2018,406,Boundary Waters (406),Sawmill,Spruce,SPF,228243.75
207,2018,406,Boundary Waters (406),Sawmill,Balsam Fir,SPF,13025.95996
208,2018,406,Boundary Waters (406),Sawmill,Other Softwood,Other Softwood,19.13699913
209,2018,406,Boundary Waters (406),Sawmill,White Pine,Red/White Pine,10095.59082
210,2018,406,Boundary Waters (406),Sawmill,Red Pine,Red/White Pine,8422.009766
211,2018,406,Boundary Waters (406),Sawmill,White Pine,Red/White Pine,590.5489502
212,2018,406,Boundary Waters (406),Sawmill,Red Pine,Red/White Pine,3206.537109
213,2018,406,Boundary Waters (406),Veneer,Poplar,Poplar/Birch,419.4339905
214,2018,415,Ogoki (415),Other,Jack Pine,SPF,105.5810013
215,2018,415,Ogoki (415),Other,Spruce,SPF,506.3370056
216,2018,415,Ogoki (415),Other,Balsam Fir,SPF,14.41899967
217,2018,415,Ogoki (415),Other,Other Softwood,Other Softwood,361.1520081
218,2018,415,Ogoki (415),Other,Other Softwood,Other Softwood,4.974999905
219,2018,415,Ogoki (415),Other,Poplar,Poplar/Birch,1591.769043
